"country","name","birth_date","gender","disciplines"
"Kyrgyzstan","TROFIMOVA Sardana","1988-03-28","Female","'Athletics'"
"Croatia","CERNOGORAZ Giovanni","1982-12-27","Male","'Shooting'"
"Jordan","ABO YAMAN Zaid","1993-06-20","Male","'Table Tennis'"
"Türkiye","KORKMAZ Salih","1997-01-01","Male","'Athletics'"
"Tajikistan","MUZRAPOV Favoris","1998-11-15","Male","'Athletics'"
"Uzbekistan","YUSUPOV Alisher","1998-11-27","Male","'Judo'"
"Uzbekistan","KURBONOVA Khalimajon","2002-01-04","Female","'Judo'"
"Türkiye","DANISMAZ Tugba","1999-09-01","Female","'Athletics'"
"Republic of Moldova","GLINKA Alisa","1987-10-10","Female","'Equestrian'"
"Mali","JIDDOU Salam","2000-02-01","Male","'Football'"
"Republic of Moldova","ROBU Marin","2000-03-19","Male","'Weightlifting'"
"Türkiye","COPELLO Yasmani","1987-04-15","Male","'Athletics'"
"Uzbekistan","KELDIYOROVA Diyora","1998-07-13","Female","'Judo'"
"France","IMADOUCHENE Romain","1995-09-05","Male","'Weightlifting'"
"France","KINGUE MATAM Bernardin","1990-05-20","Male","'Weightlifting'"
"France","FEGUE Marie","1991-05-28","Female","'Weightlifting'"
"France","TCHAKOUNTE Dora","1995-03-23","Female","'Weightlifting'"
"Türkiye","CINAR Deniz","1984-12-08","Male","'Sailing'"
"Türkiye","GUZEL Ecem","1995-02-23","Female","'Sailing'"
"Türkiye","CITAK Yigit Yalcin","2001-01-03","Male","'Sailing'"
"Türkiye","VATAN Merve","2005-01-01","Female","'Sailing'"
"Türkiye","ATAKAN Derin","2006-06-16","Female","'Sailing'"
"Türkiye","KAYNAR Alican","1988-10-30","Male","'Sailing'"
"Türkiye","KAYNAKCI Beste","1994-04-30","Female","'Sailing'"
"Mali","DIOMANDE Ahmed","2002-12-15","Male","'Football'"
"Türkiye","NALBANTOGLU Lara","2001-10-02","Female","'Sailing'"
"France","DEFAY Johanne","1993-11-19","Female","'Surfing'"
"Korea","KIM Nahyun","2003-11-08","Female","'Diving'"
"France","FIERRO Vahine","1999-12-02","Female","'Surfing'"
"France","VAAST Kauli","2002-02-26","Male","'Surfing'"
"France","DURU Joan","1989-04-25","Male","'Surfing'"
"Mali","TRAORE Boubacar","2001-08-20","Male","'Football'"
"Tajikistan","KHOJAZODA Behruzi","1995-01-11","Male","'Judo'"
"Jamaica","PARCHMENT Hansle","1990-06-17","Male","'Athletics'"
"Jamaica","SEVILLE Oblique","2001-03-16","Male","'Athletics'"
"Tajikistan","RAKHIMOV Temur","1997-07-08","Male","'Judo'"
"Virgin Islands, B","BRATHWAITE Rikkoi","1999-02-13","Male","'Athletics'"
"Virgin Islands, B","McMASTER Kyron","1997-01-03","Male","'Athletics'"
"Côte d'Ivoire","DABONNE Zouleiha Abzetta","1992-12-15","Female","'Judo'"
"Korea","HONGTEN","1984-12-27","Male","'Breaking'"
"Nigeria","OGUNSANYA Christianah Tolulope","2002-01-12","Female","'Wrestling'"
"Nigeria","OBORUDUDU Blessing","1989-03-12","Female","'Wrestling'"
"Nigeria","RUEBEN Hannah Amuchechi","1994-02-14","Female","'Wrestling'"
"Nigeria","ADEKUOROYE Odunayo Folasade","1993-12-10","Female","'Wrestling'"
"Nigeria","KOLAWOLE Esther Omolayo","2002-01-04","Female","'Wrestling'"
"Maldives","ADAM Ibadulla","2002-01-14","Male","'Athletics'"
"Nigeria","MUTUWA Ashton Adeyemi","1997-10-31","Male","'Wrestling'"
"Türkiye","SURMENELI Busenaz","1998-05-26","Female","'Boxing'"
"Türkiye","ARICAN Ferhat","1993-07-28","Male","'Artistic Gymnastics'"
"Türkiye","COLAK Ibrahim","1995-01-07","Male","'Artistic Gymnastics'"
"Türkiye","ONDER Ahmet","1996-07-12","Male","'Artistic Gymnastics'"
"Türkiye","ASIL Adem","1999-02-21","Male","'Artistic Gymnastics'"
"Vietnam","NGUYEN Thuy Linh","1997-11-20","Female","'Badminton'"
"Türkiye","DODANLI Emre","2002-10-24","Male","'Artistic Gymnastics'"
"Türkiye","CAKIROGLU Buse Naz","1996-05-26","Female","'Boxing'"
"Türkiye","AKBAS Hatice","2001-06-24","Female","'Boxing'"
"Türkiye","OZER Gizem","2001-04-09","Female","'Boxing'"
"Uzbekistan","AMINOVA Shukurjon","2002-11-16","Female","'Judo'"
"Türkiye","GUMUS Samet","2001-05-09","Male","'Boxing'"
"Türkiye","YILDIZ KAHRAMAN Esra","1997-07-04","Female","'Boxing'"
"Türkiye","AYKUTSUN Kaan","2002-07-22","Male","'Boxing'"
"Uzbekistan","MATNIYAZOVA Gulnoza","1994-08-10","Female","'Judo'"
"Uzbekistan","KURBANBAEVA Iriskhon","2002-03-18","Female","'Judo'"
"Hungary","ADOLF Balazs","1999-09-05","Male","'Canoe Sprint'"
"Kyrgyzstan","ZHUMANAZAROVA Meerim","1999-11-09","Female","'Wrestling'"
"Vietnam","VO Thi My Tien","2005-10-29","Female","'Swimming'"
"Vietnam","NGUYEN Thi Huong","2001-10-21","Female","'Canoe Sprint'"
"Montenegro","LAZOVIC Dejan","1990-02-08","Male","'Water Polo'"
"Montenegro","MATKOVIC Dusan","1999-02-01","Male","'Water Polo'"
"Montenegro","MRSIC Marko","2003-01-02","Male","'Water Polo'"
"Montenegro","PERKOVIC Miroslav","2001-03-15","Male","'Water Polo'"
"Montenegro","POPADIC Vlado","1996-04-25","Male","'Water Polo'"
"Georgia","PANSTKHAVA Noe","2006-03-13","Male","'Swimming'"
"Montenegro","RADOVIC Vasilije","2003-05-12","Male","'Water Polo'"
"Montenegro","SPAIC Vladan","1997-06-18","Male","'Water Polo'"
"Korea","KIM Seoyeong","1994-03-17","Female","'Swimming'"
"Hungary","CSIPES Tamara","1989-08-24","Female","'Canoe Sprint'"
"Hungary","CSIZMADIA Kolos Attila","1995-09-01","Male","'Canoe Sprint'"
"Vietnam","PHAM Thi Hue","1990-07-05","Female","'Rowing'"
"Montenegro","TESANOVIC Petar","1998-11-26","Male","'Water Polo'"
"Spain","LLAVADOR Carlos","1992-04-26","Male","'Fencing'"
"Spain","MARTIN-PORTUGUES Lucia","1990-10-22","Female","'Fencing'"
"Georgia","NIZHARADZE Ana","2008-10-19","Female","'Swimming'"
"Montenegro","VUJOVIC Jovan","2003-01-20","Male","'Water Polo'"
"Montenegro","MACIC Aljosa","2000-10-31","Male","'Water Polo'"
"Montenegro","RADOVIC Duro","1999-02-20","Male","'Water Polo'"
"Montenegro","VIDOVIC Stefan","1992-08-08","Male","'Water Polo'"
"Italy","BENATI Lorenzo","2002-04-05","Male","'Athletics'"
"Italy","RIGALI Roberto","1995-01-07","Male","'Athletics'"
"Italy","SIMONELLI Lorenzo Ndele","2002-06-01","Male","'Athletics'"
"Italy","CESTONARO Ottavia","1995-01-12","Female","'Athletics'"
"Italy","PALMISANO Antonella","1991-08-06","Female","'Athletics'"
"Italy","STANO Massimo","1992-02-27","Male","'Athletics'"
"Italy","TRAPLETTI Valentina","1985-07-12","Female","'Athletics'"
"Italy","MELON Chiara","1999-10-08","Female","'Athletics'"
"Italy","PETTOROSSI Diego Aldo","1997-01-13","Male","'Athletics'"
"Mali","DIARRA Brahima","2003-07-05","Male","'Football'"
"Andorra","DORIA VILARRUBLA Monica","1999-12-04","Female","'Canoe Slalom'"
"Montenegro","DURDIC Bogdan","1996-08-08","Male","'Water Polo'"
"France","VERGIAT Timothe","1998-03-07","Male","'3x3 Basketball'"
"France","SEGUELA Franck","1997-05-30","Male","'3x3 Basketball'"
"France","DUSSOULIER Lucas","1996-07-27","Male","'3x3 Basketball'"
"France","RAMBAUT Jules","1998-04-06","Male","'3x3 Basketball'"
"Mali","DOUMBIA Cheickna","2003-06-14","Male","'Football'"
"Poland","SZEREMETA Julia","2003-08-24","Female","'Boxing'"
"Poland","RYGIELSKA Aneta","1995-08-24","Female","'Boxing'"
"Mali","SACO Coli","2002-05-15","Male","'Football'"
"Poland","WOJCIK Elzbieta","1996-01-14","Female","'Boxing'"
"Italy","PIZZOLATO Antonino","1996-08-20","Male","'Weightlifting'"
"Korea","KIM Suji","1998-02-16","Female","'Diving'"
"Italy","MAGISTRIS Lucrezia","1999-04-21","Female","'Weightlifting'"
"Italy","MASSIDDA Sergio","2002-01-26","Male","'Weightlifting'"
"Hungary","FEJES Daniel","1999-11-14","Male","'Canoe Sprint'"
"Hungary","FOJT Sara","2003-12-03","Female","'Canoe Sprint'"
"AIN","VALODZKA Siuzanna","2000-08-17","Female","'Weightlifting'"
"Hungary","GAZSO Alida Dora","2000-04-18","Female","'Canoe Sprint'"
"Hungary","HAJDU Jonatan Daniel","1996-06-28","Male","'Canoe Sprint'"
"Slovakia","BURZALOVA Hana","2000-11-03","Female","'Athletics'"
"Slovakia","CERNY Dominik","1997-11-01","Male","'Athletics'"
"Slovakia","FIZEL Marius","1999-01-13","Male","'Judo'"
"Slovakia","FORSTER Viktoria","2002-04-08","Female","'Athletics'"
"Slovakia","GAJANOVA Gabriela","1999-10-12","Female","'Athletics'"
"Slovakia","HOCKOVA Vanesa","2000-01-20","Female","'Shooting'"
"Slovakia","JANY Patrik","1997-07-29","Male","'Shooting'"
"Slovakia","JENCUSOVA Nora","2002-04-14","Female","'Cycling Road'"
"Slovakia","KATERINKA CZAKOVA Maria","1988-10-02","Female","'Athletics'"
"Slovakia","KOVACOCY Marian","1984-09-17","Male","'Shooting'"
"Slovakia","KUBIS Lukas","2000-01-31","Male","'Cycling Road'"
"Slovakia","MORVAY Michal","1996-08-19","Male","'Athletics'"
"Slovakia","PANKOVA Zuzana","2004-11-25","Female","'Canoe Slalom'"
"Slovakia","REHAK STEFECEKOVA Zuzana","1984-01-15","Female","'Shooting'"
"Norway","OFTEDAL Stine Bredal","1991-09-25","Female","'Handball'"
"Korea","KIM Yeonghyeon","2004-03-03","Male","'Swimming'"
"Slovakia","JESSICA Triebelova","2001-04-11","Female","'Boxing'"
"Slovakia","WANG Yang","1994-09-24","Male","'Table Tennis'"
"Croatia","KRISTO Katarina","2002-03-20","Female","'Judo'"
"Guinea","BRANSER Marie","1992-08-15","Female","'Judo'"
"Guinea","ESTEVES Mariana","1996-04-02","Female","'Judo'"
"Hungary","KISS Agnes Anna","2005-05-22","Female","'Canoe Sprint'"
"Sweden","SODERQVIST Jakob","2003-05-31","Male","'Cycling Road'"
"Sweden","ANDERSSON Caroline","2001-07-29","Female","'Cycling Road'"
"Mali","DIALLO Demba","2000-10-13","Male","'Football'"
"Sweden","LINDFORS Caisa-Marie","2000-08-05","Female","'Athletics'"
"Sweden","WIKSTROM Carolina","1993-09-04","Female","'Athletics'"
"Sweden","DUPLANTIS Armand","1999-11-10","Male","'Athletics'"
"Sweden","JOHANSSON Axelina","2000-04-20","Female","'Athletics'"
"Sweden","BENGTSTROM Carl","2000-01-13","Male","'Athletics'"
"Sweden","STAHL Daniel","1992-08-27","Male","'Athletics'"
"Sweden","ROOS Fanny","1995-01-02","Female","'Athletics'"
"Sweden","LARSSON Henrik","1999-09-30","Male","'Athletics'"
"Sweden","KRAMER Andreas","1997-04-13","Male","'Athletics'"
"Sweden","HENRIKSSON Julia","2000-07-11","Female","'Athletics'"
"Sweden","ALMGREN Andreas","1995-06-12","Male","'Athletics'"
"Sweden","ASKAG Maja","2002-12-18","Female","'Athletics'"
"Mali","DOUCOURE Fode","2001-02-03","Male","'Football'"
"Sweden","LINDAHL Nora","2004-09-10","Female","'Athletics'"
"Sweden","EDLUND Oskar","2002-11-16","Male","'Athletics'"
"Sweden","KARLSTROM Perseus","1990-05-02","Male","'Athletics'"
"Sweden","CARLSSON Ragnar","2000-11-16","Male","'Athletics'"
"Sweden","PIHLSTROM Samuel","2001-03-08","Male","'Athletics'"
"Sweden","HASSAN Suldan","1998-04-01","Male","'Athletics'"
"Sweden","LOFMAN Thea","2003-09-08","Female","'Athletics'"
"Sweden","MONTLER Thobias","1996-02-15","Male","'Athletics'"
"Sweden","KAMGA Vanessa","1998-11-19","Female","'Athletics'"
"Sweden","ERLANDSSON Erik","2004-05-22","Male","'Athletics'"
"El Salvador","GUTIERREZ Israel","1992-03-19","Male","'Shooting'"
"Suriname","TJON EN FA Jair","1993-10-19","Male","'Cycling Track'"
"Cuba","MEDINA ROCA Ayamey Damiana","1998-02-21","Female","'Weightlifting'"
"Chinese Taipei","KUO Hsing-Chun","1993-11-26","Female","'Weightlifting'"
"Chinese Taipei","CHEN Wen-Huei","1997-02-23","Female","'Weightlifting'"
"Singapore","GAN Ching Hwee","2003-07-22","Female","'Swimming'"
"Chinese Taipei","FANG Wan-Ling","1999-12-01","Female","'Weightlifting'"
"Türkiye","YILDIRIM Enver","1995-10-18","Male","'Fencing'"
"Türkiye","ERBIL Nisanur","2003-04-22","Female","'Fencing'"
"Nigeria","OPEYORI Anuoluwapo Juwon","1997-06-01","Male","'Badminton'"
"AIN","TSIKHANTSOU Yauheni","1998-11-04","Male","'Weightlifting'"
"Chinese Taipei","YANG Kun-Pi","1998-08-11","Male","'Shooting'"
"Chinese Taipei","LIN Yi Chun","1981-07-05","Female","'Shooting'"
"Chinese Taipei","LEE Meng Yuan","1994-08-25","Male","'Shooting'"
"Chinese Taipei","TIEN Chia Chen","1983-12-20","Female","'Shooting'"
"Chinese Taipei","LIU Heng Yu","2003-03-28","Female","'Shooting'"
"Chinese Taipei","WU Chia Ying","1992-10-25","Female","'Shooting'"
"Chinese Taipei","LIU Wan-Yu","1995-07-16","Female","'Shooting'"
"Chinese Taipei","YU Ai Wen","1995-12-27","Female","'Shooting'"
"Poland","DURKACZ Damian","1999-01-30","Male","'Boxing'"
"Malaysia","TAN Pearly","2000-03-14","Female","'Badminton'"
"Türkiye","YILDIZ Salih","2001-01-01","Male","'Judo'"
