"name","medal_type","gender","country","event","isteam","url_event"
"SETEFANO Theresa","Gold Medal","Female","New Zealand","Women",True,"/en/paris-2024/results/rugby-sevens/women/fnl-000100--"
"REISTAD Henny","Gold Medal","Female","Norway","Women",True,"/en/paris-2024/results/handball/women/fnl-000100--"
"SOLBERG-ISAKSEN Sanna","Gold Medal","Female","Norway","Women",True,"/en/paris-2024/results/handball/women/fnl-000100--"
"HERREM Camilla","Gold Medal","Female","Norway","Women",True,"/en/paris-2024/results/handball/women/fnl-000100--"
"JACOBSEN Marit","Gold Medal","Female","Norway","Women",True,"/en/paris-2024/results/handball/women/fnl-000100--"
"LUNDE Katrine","Gold Medal","Female","Norway","Women",True,"/en/paris-2024/results/handball/women/fnl-000100--"
"APPS Olivia","Silver Medal","Female","Canada","Women",True,"/en/paris-2024/results/rugby-sevens/women/fnl-000100--"
"CAMILION Juana","Silver Medal","Female","Spain","Women",True,"/en/paris-2024/results/3x3-basketball/women/fnl-000100--"
"GIMENO Vega","Silver Medal","Female","Spain","Women",True,"/en/paris-2024/results/3x3-basketball/women/fnl-000100--"
"YGUERAVIDE Sandra","Silver Medal","Female","Spain","Women",True,"/en/paris-2024/results/3x3-basketball/women/fnl-000100--"
"ALONSO Gracia","Silver Medal","Female","Spain","Women",True,"/en/paris-2024/results/3x3-basketball/women/fnl-000100--"
"HUMANA-PAREDES Melissa","Silver Medal","Female","Canada","Women",True,"/en/paris-2024/results/beach-volleyball/women/fnl-000100--"
"WILKERSON Brandie","Silver Medal","Female","Canada","Women",True,"/en/paris-2024/results/beach-volleyball/women/fnl-000100--"
"YE Jiao","Silver Medal","Female","China","Women",True,"/en/paris-2024/results/hockey/women/fnl-000100--"
"GU Bingfeng","Silver Medal","Female","China","Women",True,"/en/paris-2024/results/hockey/women/fnl-000100--"
"YANG Liu","Silver Medal","Female","China","Women",True,"/en/paris-2024/results/hockey/women/fnl-000100--"
"ZHANG Ying","Silver Medal","Female","China","Women",True,"/en/paris-2024/results/hockey/women/fnl-000100--"
